x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,y
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.725575317552083e-05,2.725575317552083e-05,0.00013627876587760416,2.0441814882747915e-05,2.0441814882747915e-05,0.00010220907441373956,1.6353451906608347e-05,1.6353451906608347e-05,8.176725953304174e-05,1.3627876589025893e-05,1.3627876589025893e-05,6.813938294512947e-05,1.1681037076403834e-05,1.1681037076403834e-05,5.8405185382019164e-05,-0.8660390313393518,-0.8660390313393518,-4.3301951566967585,-0.9999999997910659,-0.9999999997910659,-4.999999998955331,-0.9510514626734248,-0.9510514626734248,-4.7552573133671245,-0.8660185897657253,-0.8660185897657253,-4.330092948828627,-0.7818241994071984,-0.7818241994071984,-3.909120997035992,-1.3765752337787358
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011663539436310195,0.011663539436310195,0.05831769718155098,0.008747741354122896,0.008747741354122896,0.043738706770614484,0.0069982252156809924,0.0069982252156809924,0.03499112607840496,0.005831868891954768,0.005831868891954768,0.029159344459773837,0.0049987522821218966,0.0049987522821218966,0.02499376141060949,-0.8717982652512463,-0.8717982652512463,-4.358991326256231,-0.9999617377786021,-0.9999617377786021,-4.999808688893009,-0.9488706564171856,-0.9488706564171856,-4.744353282085926,-0.8630947421504028,-0.8630947421504028,-4.315473710752015,-0.7787050433204745,-0.7787050433204745,-3.893525216602373,0.8787824487036073
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01594888722174396,0.01594888722174396,0.07974443610871979,0.011961887300233405,0.011961887300233405,0.05980943650116704,0.00956959200130337,0.00956959200130337,0.04784796000651685,0.007974697193509002,0.007974697193509002,0.03987348596754501,0.006835473959500489,0.006835473959500489,0.03417736979750244,-0.8738896962466545,-0.8738896962466545,-4.369448481233272,-0.999928454066698,-0.999928454066698,-4.9996422703334895,-0.9480558012458792,-0.9480558012458792,-4.740279006229395,-0.8620105169626844,-0.8620105169626844,-4.3100525848134215,-0.7775513689185723,-0.7775513689185723,-3.887756844592861,1.1087006788343368
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04681411786363674,0.04681411786363674,0.2340705893181837,0.03511620431191858,0.03511620431191858,0.17558102155959293,0.02809504308828426,0.02809504308828426,0.1404752154414213,0.023413477339421847,0.023413477339421847,0.11706738669710925,0.02006918143244053,0.02006918143244053,0.1003459071622026,-0.8884829681886229,-0.8884829681886229,-4.442414840943116,-0.9993832358983832,-0.9993832358983832,-4.996916179491916,-0.9419992470174772,-0.9419992470174772,-4.709996235087387,-0.8540812589423818,-0.8540812589423818,-4.2704062947119095,-0.7691610867240675,-0.7691610867240675,-3.8458054336203364,0.5192290708918412
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05937010118635179,0.05937010118635179,0.2968505059317589,0.044539037300913485,0.044539037300913485,0.22269518650456746,0.035635474316860184,0.035635474316860184,0.1781773715843009,0.02969815007112965,0.02969815007112965,0.14849075035564824,0.025456550310208714,0.025456550310208714,0.12728275155104354,-0.8941828200025839,-0.8941828200025839,-4.4709141000129184,-0.9990076446936268,-0.9990076446936268,-4.995038223468135,-0.9394404901287196,-0.9394404901287196,-4.697202450643598,-0.8507943359090137,-0.8507943359090137,-4.253971679545068,-0.7657062144492971,-0.7657062144492971,-3.8285310722464856,0.7728722751831794
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07920030612678043,0.07920030612678043,0.3960015306339021,0.05942747044187492,0.05942747044187492,0.29713735220937465,0.04755206527927422,0.04755206527927422,0.2377603263963711,0.039631288518104636,0.039631288518104636,0.19815644259052329,0.033972036600226026,0.033972036600226026,0.16986018300113012,-0.902905130248202,-0.902905130248202,-4.5145256512410095,-0.9982326260731412,-0.9982326260731412,-4.991163130365707,-0.9352862474914888,-0.9352862474914888,-4.676431237457445,-0.8455293856150412,-0.8455293856150412,-4.227646928075206,-0.7601989782827799,-0.7601989782827799,-3.8009948914139,-1.9110520409471992
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08384707886207593,0.08384707886207593,0.4192353943103796,0.06291764194807874,0.06291764194807874,0.3145882097403937,0.05034608863335347,0.05034608863335347,0.2517304431667673,0.04196049527387015,0.04196049527387015,0.2098024763693508,0.03596894092960349,0.03596894092960349,0.17984470464801744,-0.9048993505200408,-0.9048993505200408,-4.5244967526002045,-0.9980187224354528,-0.9980187224354528,-4.990093612177263,-0.9342926194428666,-0.9342926194428666,-4.671463097214333,-0.8442824220924823,-0.8442824220924823,-4.2214121104624125,-0.7588992979362996,-0.7588992979362996,-3.7944964896814977,-3.345261594902885
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08531323325634955,0.08531323325634955,0.42656616628174776,0.06401898727707186,0.06401898727707186,0.3200949363853593,0.05122780556309287,0.05122780556309287,0.2561390278154643,0.042695549449828125,0.042695549449828125,0.21347774724914065,0.036599137297734285,0.036599137297734285,0.18299568648867146,-0.905524647774022,-0.905524647774022,-4.527623238870111,-0.9979486806785296,-0.9979486806785296,-4.989743403392649,-0.933977510856739,-0.933977510856739,-4.669887554283696,-0.8438879258462557,-0.8438879258462557,-4.219439629231278,-0.7584884877338411,-0.7584884877338411,-3.7924424386692057,-2.1495996369731976
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09015191536112707,0.09015191536112707,0.4507595768056354,0.0676541439711552,0.0676541439711552,0.338270719855776,0.054138207305012974,0.054138207305012974,0.2706910365250649,0.04512191490526227,0.04512191490526227,0.2256095745263113,0.03867941185871427,0.03867941185871427,0.1933970592935713,-0.9075749281828708,-0.9075749281828708,-4.537874640914357,-0.9977088336802128,-0.9977088336802128,-4.988544168401064,-0.9329321200404528,-0.9329321200404528,-4.664660600202264,-0.8425823888180674,-0.8425823888180674,-4.2129119440903375,-0.7571301968918845,-0.7571301968918845,-3.7856509844594233,0.4399408634904925
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09101496066464597,0.09101496066464597,0.4550748033232298,0.06830259653050579,0.06830259653050579,0.3415129826525289,0.054657402251599804,0.054657402251599804,0.27328701125799904,0.04555477336531293,0.04555477336531293,0.2277738668265647,0.03905053470920965,0.03905053470920965,0.19525267354604828,-0.9079384675431316,-0.9079384675431316,-4.539692337715658,-0.9976646507254784,-0.9976646507254784,-4.988323253627391,-0.932744779395786,-0.932744779395786,-4.6637238969789285,-0.8423489462697777,-0.8423489462697777,-4.2117447313488885,-0.756887520165859,-0.756887520165859,-3.7844376008292953,-2.3861185917332115
